Time, Stove, Ready, Assistant, Remarks
77 ,f(cook=6), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=5) e(prep=3),none
78 ,f(cook=5), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=4) e(prep=2),none
79 ,f(cook=4), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=3) e(prep=1),none
80 ,f(cook=3), e(cook=5) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=2),e is prepared|
81 ,f(cook=2), e(cook=5) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=1),none
82 ,f(cook=1), c(cook=1) e(cook=5) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,c is prepared|
83 ,Cleaning, c(cook=1) e(cook=5) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), f(prep=7),f is done cooking|stove is cleaning|
84 ,c(cook=1), e(cook=5) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), f(prep=6),none
85 ,Cleaning, e(cook=5) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), f(prep=5) c(prep=20),c is done cooking|stove is cleaning|
86 ,e(cook=5), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), f(prep=4) c(prep=19),none
87 ,e(cook=4), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), f(prep=3) c(prep=18),none
88 ,e(cook=3), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), f(prep=2) c(prep=17),none
89 ,e(cook=2), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), f(prep=1) c(prep=16),none
90 ,e(cook=1), f(cook=6) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=16),f is prepared|
91 ,Cleaning, f(cook=6) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=15) e(prep=4),e is done cooking|stove is cleaning|
92 ,f(cook=6), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=14) e(prep=3),none
93 ,f(cook=5), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=13) e(prep=2),none
94 ,f(cook=4), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=12) e(prep=1),none
95 ,f(cook=3), e(cook=4) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=11),e is prepared|
96 ,f(cook=2), e(cook=4) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=10),none
97 ,f(cook=1), e(cook=4) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=9),none
98 ,Cleaning, e(cook=4) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=8) f(prep=5),f is done cooking|stove is cleaning|
99 ,e(cook=4), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=7) f(prep=4),none
100 ,e(cook=3), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=6) f(prep=3),none
101 ,e(cook=2), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=5) f(prep=2),none
102 ,e(cook=1), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=4) f(prep=1),none
103 ,Cleaning, f(cook=4) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=3),e is done|stove is cleaning|f is prepared|
104 ,f(cook=4), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=2),none
105 ,f(cook=3), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20), c(prep=1),none
106 ,f(cook=2), c(cook=1) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,c is prepared|
107 ,f(cook=1), c(cook=1) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,none
108 ,Cleaning, c(cook=1) i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,f is done|stove is cleaning|
109 ,c(cook=1), i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,none
110 ,Cleaning, i(cook=10) l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,c is done|stove is cleaning|
111 ,i(cook=10), l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,none
112 ,i(cook=9), l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,none
113 ,i(cook=8), l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,none
114 ,i(cook=7), l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,none
115 ,i(cook=6), l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,none
116 ,i(cook=5), l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,none
117 ,i(cook=4), l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,none
118 ,i(cook=3), l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,none
119 ,i(cook=2), l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,none
120 ,i(cook=1), l(cook=11) k(cook=18) a(cook=20) b(cook=20),none,none
121 ,Cleaning, l(cook=11) k(cook=18) a(cook=20) b(cook=20), i(prep=10),i is done cooking|stove is cleaning|
122 ,l(cook=11), k(cook=18) a(cook=20) b(cook=20), i(prep=9),none
123 ,l(cook=10), k(cook=18) a(cook=20) b(cook=20), i(prep=8),none
124 ,l(cook=9), k(cook=18) a(cook=20) b(cook=20), i(prep=7),none
125 ,l(cook=8), k(cook=18) a(cook=20) b(cook=20), i(prep=6),none
126 ,l(cook=7), k(cook=18) a(cook=20) b(cook=20), i(prep=5),none
127 ,l(cook=6), k(cook=18) a(cook=20) b(cook=20), i(prep=4),none
128 ,l(cook=5), k(cook=18) a(cook=20) b(cook=20), i(prep=3),none
129 ,l(cook=4), k(cook=18) a(cook=20) b(cook=20), i(prep=2),none
130 ,l(cook=3), k(cook=18) a(cook=20) b(cook=20), i(prep=1),none
131 ,l(cook=2), i(cook=10) k(cook=18) a(cook=20) b(cook=20),none,i is prepared|
132 ,l(cook=1), i(cook=10) k(cook=18) a(cook=20) b(cook=20),none,none
133 ,Cleaning, i(cook=10) k(cook=18) a(cook=20) b(cook=20), l(prep=17),l is done cooking|stove is cleaning|
134 ,i(cook=10), k(cook=18) a(cook=20) b(cook=20), l(prep=16),none
135 ,i(cook=9), k(cook=18) a(cook=20) b(cook=20), l(prep=15),none
