Generation 0 average fitness: 41.58701878059255
Generation 1 average fitness: 43.06256095814928
Warning: generation 2 has lower average fitness
Generation 2 average fitness: 42.952513760580835
Generation 3 average fitness: 43.09923365675893
Generation 4 average fitness: 43.547579588956
Generation 5 average fitness: 44.03943627412925
Warning: generation 6 has lower average fitness
Generation 6 average fitness: 43.91949945963551
Generation 7 average fitness: 44.379390764932516
Warning: generation 8 has lower average fitness
Generation 8 average fitness: 43.69155292192234
Generation 9 average fitness: 43.83677900233817
Generation 10 average fitness: 43.914743087093655
Generation 11 average fitness: 44.86078395575945
Warning: generation 12 has lower average fitness
Generation 12 average fitness: 43.18424162517948
Generation 13 average fitness: 45.34969278143724
Generation 14 average fitness: 45.40958279937785
Generation 15 average fitness: 46.311497599290504
Warning: generation 16 has lower average fitness
Generation 16 average fitness: 44.27670892408859
Generation 17 average fitness: 45.19989967260312
Warning: generation 18 has lower average fitness
Generation 18 average fitness: 44.73757260902792
Warning: generation 19 has lower average fitness
Generation 19 average fitness: 44.27059120604778
Warning: generation 20 has lower average fitness
Generation 20 average fitness: 44.24175609556526
Generation 21 average fitness: 45.943272680452544
Warning: generation 22 has lower average fitness
Generation 22 average fitness: 45.24816232926096
Generation 23 average fitness: 45.24899139685275
Generation 24 average fitness: 46.647159156973046
Time, Stove, Ready, Assistant, Remarks
45 ,j(cook=1), g(cook=6) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), c(prep=3),g is prepared|
46 ,Cleaning, g(cook=6) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), c(prep=2) j(prep=3),j is done cooking|stove is cleaning|
47 ,g(cook=6), h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), c(prep=1) j(prep=2),none
48 ,g(cook=5), c(cook=6) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), j(prep=2),c is prepared|
49 ,g(cook=4), c(cook=6) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), j(prep=1),none
50 ,g(cook=3), c(cook=6) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9),none,j is done|
51 ,g(cook=2), c(cook=6) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9),none,none
52 ,g(cook=1), c(cook=6) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9),none,none
53 ,Cleaning, c(cook=6) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), g(prep=1),g is done cooking|stove is cleaning|
54 ,c(cook=6), g(cook=8) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9),none,g is prepared|
55 ,c(cook=5), g(cook=8) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9),none,none
56 ,c(cook=4), g(cook=8) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9),none,none
57 ,c(cook=3), g(cook=8) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9),none,none
58 ,c(cook=2), g(cook=8) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9),none,none
59 ,c(cook=1), g(cook=8) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9),none,none
60 ,Cleaning, g(cook=8) h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), c(prep=9),c is done cooking|stove is cleaning|
61 ,g(cook=8), h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), c(prep=8),none
62 ,g(cook=7), h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), c(prep=7),none
63 ,g(cook=6), h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), c(prep=6),none
64 ,g(cook=5), h(cook=7) f(cook=3) e(cook=5) d(cook=10) i(cook=9), c(prep=5),none
