Generation 0 average fitness: 41.58701878059255
Generation 1 average fitness: 43.06256095814928
Warning: generation 2 has lower average fitness
Generation 2 average fitness: 42.952513760580835
Generation 3 average fitness: 43.09923365675893
Generation 4 average fitness: 43.547579588956
Generation 5 average fitness: 44.03943627412925
Warning: generation 6 has lower average fitness
Generation 6 average fitness: 43.91949945963551
Generation 7 average fitness: 44.379390764932516
Warning: generation 8 has lower average fitness
Generation 8 average fitness: 43.69155292192234
Generation 9 average fitness: 43.83677900233817
Generation 10 average fitness: 43.914743087093655
Generation 11 average fitness: 44.86078395575945
Warning: generation 12 has lower average fitness
Generation 12 average fitness: 43.18424162517948
Generation 13 average fitness: 45.34969278143724
Generation 14 average fitness: 45.40958279937785
Generation 15 average fitness: 46.311497599290504
Warning: generation 16 has lower average fitness
Generation 16 average fitness: 44.27670892408859
Generation 17 average fitness: 45.19989967260312
Warning: generation 18 has lower average fitness
Generation 18 average fitness: 44.73757260902792
Warning: generation 19 has lower average fitness
Generation 19 average fitness: 44.27059120604778
Warning: generation 20 has lower average fitness
Generation 20 average fitness: 44.24175609556526
Generation 21 average fitness: 45.943272680452544
Warning: generation 22 has lower average fitness
Generation 22 average fitness: 45.24816232926096
Generation 23 average fitness: 45.24899139685275
Generation 24 average fitness: 46.647159156973046
Time, Stove, Ready, Assistant, Remarks
3.1448472851883853,-2.8292251276334923,-2.152422628208325,-4.7815226458215845,-3.9715358757532346,50.61516452074392
-4.040849782791851,4.791921090191341,-2.6489289561305682,-2.0042558717984917,-1.8987748192742124,50.57487922705314
-2.7250512870255026,-0.40452816677579584,1.2267776212353017,-3.2767484703466367,0.402939078365244,50.578597030209934
1.5523216277485128,-4.753608943267446,-1.4933199264744523,-4.670987009296108,-3.9715358757532346,50.56051587301587
-3.9811866239752547,-4.253162400609484,1.1916093208287935,-2.746684109640322,-1.4326261134702198,50.565565565565564
1.7355471165364191,-3.2754805938786022,-2.3119654214707372,-4.164675949630302,-0.33421753345046845,50.55059523809524
3.695015280113868,2.312509282566923,-1.54404541615245,-2.6545156989049437,2.024002969375955,50.55059523809524
-4.040849782791851,-2.8292251276334923,0.6115396815496323,-2.0042558717984917,-0.04512383862959268,50.56051587301587
3.695015280113868,2.287343396556305,-2.152422628208325,-4.7815226458215845,-3.2404555567918036,50.52998605299861
1.5523216277485128,-4.253162400609484,-1.4933199264744523,-3.1136326502312537,-3.9715358757532346,50.50595238095238
1.7355471165364191,-2.8292251276334923,-1.54404541615245,-3.7640834111217747,-3.3157882538103056,50.50595238095238
-2.7250512870255026,1.5141725955688052,1.2267776212353017,-2.8446935051002384,2.365318985103844,50.48829098156452
-4.040849782791851,-4.253162400609484,0.6115396815496323,-2.0042558717984917,2.62339214793172,50.471230158730165
-2.3161356860603655,0.9015056200333849,-2.378985971100185,-1.146237837264874,-0.2644025223548656,50.47619047619049
-2.1003256860296506,0.9932612298054986,-2.147337559560728,-1.146237837264874,-3.326250987008782,50.47619047619049
-2.087683173975906,-1.8439102686496445,1.0745731479386063,-2.8048058278591723,-0.2644025223548656,50.475452196382435
-4.995824946014931,-0.06172476480858702,-4.030213809736098,-3.7640834111217747,4.750945286878478,50.47619047619049
3.1448472851883853,-2.4216537788766046,-0.48876427279423496,-2.1954352413280698,-1.1809115283872251,50.44238683127572
-4.436275185221236,-2.8292251276334923,3.3400671067021452,-3.778898016807789,-1.0045209895826765,50.44444444444445
-2.7216755497009237,-4.122975509284238,0.7798094069302977,-3.1047518009400665,-4.937752510722237,50.4265873015873
-4.654854516028429,1.4654048695192756,-4.587476777952134,-2.6545156989049437,-4.623711802895823,50.43154761904762
-2.7216755497009237,-4.122975509284238,0.7798094069302977,-3.1047518009400665,-0.2644025223548656,50.4265873015873
-2.7216755497009237,-4.122975509284238,0.7798094069302977,-3.1047518009400665,-4.937752510722237,50.4265873015873
-2.0303071207735055,-1.5858077045226757,1.2267776212353017,-2.327549784892,-2.4207784466509197,50.39682539682539
-2.0303071207735055,-1.5858077045226757,1.2267776212353017,-2.327549784892,1.3982453788594462,50.39682539682539
0.03388515496341249,0.08754689804802673,-4.292440759363102,-4.69676598390095,3.5795178108014998,50.37356321839081
1.5948035549920512,-0.06172476480858702,-4.030213809736098,-3.7640834111217747,-1.886090283394859,50.36710719530103
1.5948035549920512,-0.06172476480858702,-4.292440759363102,-3.7640834111217747,-2.1754323256446595,50.36710719530103
1.5948035549920512,-0.06172476480858702,-4.030213809736098,-3.7640834111217747,-1.886090283394859,50.36710719530103
0.03388515496341249,0.08754689804802673,-4.292440759363102,-4.69676598390095,3.5795178108014998,50.37356321839081
1.5948035549920512,-0.06172476480858702,-4.030213809736098,-3.7640834111217747,-2.211637868552084,50.36710719530103
-0.960492716573258,1.4654048695192756,-4.587476777952134,-4.542497397318939,-1.886090283394859,50.37356321839081
-2.3161356860603655,1.1690733082024032,-4.260174095156936,-3.2767484703466367,0.402939078365244,50.37356321839081
-2.087683173975906,1.9617952677901105,-4.030213809736098,-3.522877679818961,-2.716226156426477,50.37356321839081
1.5948035549920512,0.08754689804802673,-4.292440759363102,-3.4386918059465255,3.9426018708646247,50.36710719530103
1.5948035549920512,-0.06172476480858702,-4.030213809736098,-3.7640834111217747,-1.886090283394859,50.36710719530103
-2.252688088782878,1.266941209264651,-3.639095210611779,-3.3827522333700744,-2.716226156426477,50.37356321839081
-2.717943427297315,-4.122975509284238,1.4183176436259712,-2.8048058278591723,-0.2644025223548656,50.351421188630496
-2.717943427297315,-4.122975509284238,1.4183176436259712,-2.8048058278591723,-0.2644025223548656,50.351421188630496
3.695015280113868,-3.378803125817773,-0.48876427279423496,-2.5259614343072876,-2.716226156426477,50.34979423868313
1.9736482996444007,-1.8439102686496445,0.6115396815496323,-4.164675949630302,2.909912529145756,50.32288698955366
-3.3117603726927616,-4.753608943267446,1.2267776212353017,-3.1047518009400665,-0.05175313168574469,50.29934043632673
-3.3117603726927616,-4.753608943267446,1.2267776212353017,-3.1047518009400665,2.4298790247164668,50.29934043632673
-3.3117603726927616,-4.753608943267446,1.2267776212353017,-3.1047518009400665,2.4298790247164668,50.29934043632673
-4.912347984009671,-0.9847050383103761,1.4183176436259712,-3.1047518009400665,-0.2644025223548656,50.3020993343574
-4.436275185221236,-0.06172476480858702,2.574687661977247,-3.197900718080314,-0.33421753345046845,50.30490956072351
-4.784244299197127,-0.06172476480858702,-4.030213809736098,-3.7640834111217747,-1.5099189622197429,50.288988540109614
-2.7250512870255026,1.5141725955688052,1.2267776212353017,-3.1047518009400665,-0.05175313168574469,50.25603864734299
-1.9489399840601562,0.6264021362042014,-2.152422628208325,-2.0042558717984917,-2.716226156426477,50.24414549078225
-2.717943427297315,0.9341750096106907,-4.292440759363102,-4.69676598390095,3.5795178108014998,50.24414549078225
-3.3148358246214804,0.08754689804802673,-4.030213809736098,-3.9213280061391407,2.024002969375955,50.24305555555555
-4.912347984009671,2.9226986048463024,-3.5110509291441194,-3.3827522333700744,2.62339214793172,50.2463768115942
-4.995824946014931,1.9580077138242435,-4.908891708729786,-3.7640834111217747,-4.031926425012928,50.24414549078225
-2.3602097628148933,0.2002938760084234,-2.9532041783900964,-2.8446935051002384,-1.3655590508175086,50.24305555555555
-0.873617590925539,-4.253162400609484,0.6115396815496323,-2.0586076023935918,-1.8987748192742124,50.2052052052052
-2.3161356860603655,1.1690733082024032,-4.260174095156936,-4.7815226458215845,1.6945734253457498,50.20289855072464
-2.7216755497009237,1.1690733082024032,-4.260174095156936,-4.7815226458215845,2.62339214793172,50.199302441454904
-0.7446739920799894,0.9015056200333849,-4.260174095156936,-4.7815226458215845,1.5487032039443038,50.2002861230329
-2.3161356860603655,1.1690733082024032,-4.260174095156936,-4.7815226458215845,1.6945734253457498,50.20289855072464
-2.3602097628148933,1.1690733082024032,-2.9532041783900964,-2.8446935051002384,3.123853595986354,50.199302441454904
-2.717943427297315,1.1690733082024032,-4.908891708729786,-3.7640834111217747,4.441141971660251,50.199302441454904
1.5948035549920512,-0.06172476480858702,-3.2921917678054493,-3.7640834111217747,-1.886090283394859,50.185979971387695
2.8200670577752343,0.9015056200333849,-4.260174095156936,-4.753598088924138,2.647332228959809,50.185979971387695
1.2951696073450805,0.08754689804802673,-4.292440759363102,-4.69676598390095,3.5795178108014998,50.185979971387695
1.2951696073450805,0.08754689804802673,-4.292440759363102,-4.69676598390095,-1.5592633013436599,50.185979971387695
1.5948035549920512,-0.06172476480858702,-3.2921917678054493,-3.7640834111217747,-1.886090283394859,50.185979971387695
4.859075127758594,-2.4216537788766046,-0.48876427279423496,-2.8048058278591723,-0.2182414459957407,50.16020671834626
-0.873617590925539,1.4093151618725148,-2.016727169365037,-3.197900718080314,-1.5592633013436599,50.15736766809729
4.859075127758594,-2.4216537788766046,-0.48876427279423496,-2.8048058278591723,-0.2182414459957407,50.16020671834626
4.455435238558506,-2.472863092020595,-0.48876427279423496,-3.522877679818961,4.309744566729691,50.16020671834626
-4.995824946014931,-0.48917276881001825,-3.639095210611779,-3.5097959709911155,-3.3157432051636726,50.11904761904762
1.2951696073450805,-4.131720631547172,0.13838515777638705,-2.6545156989049437,-0.2182414459957407,50.11511511511512
-4.654854516028429,1.4654048695192756,-2.147337559560728,-1.146237837264874,-0.2644025223548656,50.11904761904762
-2.7250512870255026,2.9226986048463024,1.2267776212353017,-2.327549784892,-0.05175313168574469,50.08432539682539
-4.912347984009671,2.9226986048463024,1.4183176436259712,-2.8048058278591723,-0.2644025223548656,50.074738415545596
-3.3117603726927616,4.462870461773742,1.7675158126179111,-2.6545156989049437,-2.447053077514391,50.05684754521964
-3.9811866239752547,-1.946515351267688,0.9492704076592613,-3.2767484703466367,0.402939078365244,50.056323604710705
1.729176177213362,-0.40452816677579584,-2.6526921091248203,-3.2767484703466367,0.402939078365244,50.05847953216374
1.9736482996444007,-0.40452816677579584,-2.6526921091248203,-3.2767484703466367,2.909912529145756,50.05847953216374
2.1207473149511147,-0.3831961805750197,-2.9532041783900964,-3.7640834111217747,-3.1945510621078066,50.05847953216374
1.9736482996444007,-0.40452816677579584,-2.6526921091248203,-3.2767484703466367,-3.326250987008782,50.05847953216374
1.9736482996444007,-0.40452816677579584,-2.6526921091248203,-3.2767484703466367,2.909912529145756,50.05847953216374
2.1436356819511815,-0.6105953469503067,-2.6489289561305682,-3.5097959709911155,3.487495025728091,50.05847953216374
-2.717943427297315,-4.122975509284238,1.4183176436259712,-4.542497397318939,-0.2644025223548656,50.024801587301596
-4.040849782791851,1.1690733082024032,0.852965511578077,-2.0042558717984917,1.451410563867988,50.029895366218234
3.6852706734168255,2.1009792336370268,-3.8118666162191808,-4.542497397318939,4.768935154107165,50.01455604075691
-2.7250512870255026,-1.5858077045226757,1.2267776212353017,-2.327549784892,-0.05175313168574469,49.97932816537468
-4.995824946014931,0.4644141190040729,-3.8118666162191808,-3.1047518009400665,-4.937752510722237,49.98511904761905
-0.7944214334673338,3.5350996095281353,1.3274831978861732,-3.4386918059465255,-1.5099189622197429,49.94903160040774
-4.912347984009671,1.1690733082024032,-1.6403194508014165,-4.753598088924138,0.40395264361976757,49.9442119944212
-2.7250512870255026,-0.9847050383103761,1.2267776212353017,-2.327549784892,-0.05175313168574469,49.93343573988735
-3.6502309374681383,3.045264406533345,0.6115396815496323,-0.37431246012594777,-0.2182414459957407,49.94020926756353
-2.7250512870255026,-0.9847050383103761,1.2267776212353017,-2.327549784892,-0.05175313168574469,49.93343573988735
-3.6502309374681383,3.045264406533345,-1.3100139241962938,0.03443720532807859,-2.136496656146347,49.9404761904762
-4.040849782791851,4.791921090191341,-0.48876427279423496,-2.1954352413280698,-1.8987748192742124,49.923700524558896
3.3671023425673017,4.791921090191341,0.13838515777638705,-3.778898016807789,-1.5099189622197429,49.901234567901234
-2.9325555191812134,1.4673751166830087,0.13838515777638705,0.03443720532807859,-1.4326261134702198,49.89855072463768
-2.7250512870255026,-0.3831961805750197,-2.9532041783900964,-0.4102829795177634,-3.1945510621078066,49.88540109616343
-4.995824946014931,2.9226986048463024,-3.639095210611779,-3.3827522333700744,-3.3157432051636726,49.85507246376812
1.729176177213362,-2.472863092020595,0.6115396815496323,-4.8952142543009725,1.160256036279077,49.85280151946818
-1.8773596829942574,-3.911642129945484,-4.03253808892592,-2.746684109640322,-1.4326261134702198,49.84126984126984
-0.873617590925539,-2.7727990736554933,-4.528889002492925,-2.412850969370255,-2.4207784466509197,49.84126984126984
-1.8773596829942574,-3.7338528976467824,-4.03253808892592,-2.746684109640322,-2.136496656146347,49.84126984126984
-0.14592684216807061,-4.753608943267446,-4.03253808892592,-3.1440764690249345,-3.9715358757532346,49.84126984126984
-0.14592684216807061,-2.8292251276334923,-3.639095210611779,-2.6545156989049437,-3.3157432051636726,49.84126984126984
1.2951696073450805,-4.131720631547172,-4.260174095156936,-2.6545156989049437,-3.221418060202602,49.84126984126984
-0.873617590925539,-2.8292251276334923,-3.8118666162191808,-2.1954352413280698,3.005015977687794,49.84126984126984
-0.873617590925539,-2.7727990736554933,-4.292440759363102,-2.412850969370255,-2.4207784466509197,49.84126984126984
-2.252688088782878,-3.7338528976467824,-4.03253808892592,-1.575542195613231,-4.065015596817578,49.84126984126984
-0.14592684216807061,-4.753608943267446,-4.03253808892592,-2.0042558717984917,-3.9715358757532346,49.84126984126984
-0.873617590925539,-2.7727990736554933,-3.639095210611779,-2.412850969370255,-2.4207784466509197,49.84126984126984
-2.087683173975906,-3.9715294273688198,-4.918012851288152,-3.197900718080314,-2.136496656146347,49.84126984126984
-0.14592684216807061,-4.253162400609484,-3.8118666162191808,-3.1136326502312537,-0.2182414459957407,49.84126984126984
-2.717943427297315,-4.122975509284238,1.4183176436259712,-3.5097959709911155,-0.2644025223548656,49.82749873160833
-0.8275184057665408,1.4673751166830087,-4.030213809736098,0.03443720532807859,-0.6552961637260193,49.800307219662066
-0.960492716573258,1.9419144342817987,-3.5110509291441194,0.03443720532807859,-2.136496656146347,49.7420634920635
-1.7393289232138454,1.1690733082024032,-2.9532041783900964,-4.670987009296108,1.6945734253457498,49.74537037037037
-2.717943427297315,-4.753608943267446,1.0745731479386063,-2.8048058278591723,-0.2644025223548656,49.75475475475476
-1.7393289232138454,1.1690733082024032,-2.9532041783900964,-4.670987009296108,1.6945734253457498,49.74537037037037
4.455435238558506,1.9435982026804464,-0.48876427279423496,-0.13384212426360698,-1.1809115283872251,49.745158002038735
-1.7393289232138454,1.1690733082024032,-2.9532041783900964,-4.69676598390095,3.5795178108014998,49.74537037037037
-3.3148358246214804,1.1690733082024032,-1.54404541615245,-3.9213280061391407,2.9758330074844164,49.74537037037037
-4.040849782791851,-4.253162400609484,-3.5110509291441194,-2.0042558717984917,2.62339214793172,49.749262536873154
-2.3602097628148933,1.1690733082024032,-3.8708911786957945,-4.7815226458215845,1.5487032039443038,49.74537037037037
-2.717943427297315,-1.600685405591106,1.0745731479386063,-3.311764569688458,-1.5592633013436599,49.7259591429995
-1.7393289232138454,-2.756483357304206,-2.9532041783900964,-2.0586076023935918,-2.447053077514391,49.70501474926253
-4.224025909860586,0.9341750096106907,-4.918012851288152,-3.311764569688458,-3.9715358757532346,49.70734126984127
-3.3148358246214804,-0.6354197661512293,-1.54404541615245,-4.7815226458215845,-0.2182414459957407,49.66203703703703
-2.7216755497009237,-0.6354197661512293,-1.54404541615245,-4.670987009296108,-0.2182414459957407,49.66203703703703
3.6852706734168255,2.1009792336370268,-3.8118666162191808,-4.707404275732435,4.768935154107165,49.670958512160226
3.695015280113868,1.4654048695192756,-4.030213809736098,-4.7815226458215845,4.750945286878478,49.670958512160226
-2.717943427297315,-0.3831961805750197,-1.3100139241962938,-4.896561608635707,4.750945286878478,49.66203703703703
-4.839637617238374,1.1690733082024032,-2.9532041783900964,-2.1954352413280698,3.005015977687794,49.62797619047619
-4.040849782791851,1.1690733082024032,2.574687661977247,-3.311764569688458,-0.06832782915330782,49.585253456221196
1.5948035549920512,-0.06172476480858702,-4.292440759363102,-3.4386918059465255,-1.5099189622197429,49.57415565345081
3.6852706734168255,4.000845698517448,-3.639095210611779,-2.6545156989049437,0.584657853079583,49.55038759689923
4.487731293348228,3.4080492701444225,-3.8954751755983805,-4.164675949630302,-0.33421753345046845,49.55038759689923
3.0245199870009802,3.4080492701444225,-4.292440759363102,-3.311764569688458,3.9426018708646247,49.55038759689923
3.1530004995732757,2.4646189494919177,-3.8954751755983805,-3.522877679818961,-2.716226156426477,49.55038759689923
3.2091535096671535,4.462870461773742,-4.918012851288152,-3.3827522333700744,3.5795178108014998,49.55038759689923
-4.995824946014931,1.266941209264651,-3.5110509291441194,-2.6545156989049437,-3.3157432051636726,49.538690476190474
3.695015280113868,0.08754689804802673,-2.147337559560728,-3.2767484703466367,3.9426018708646247,49.51070336391437
4.859075127758594,-0.3831961805750197,-2.9532041783900964,-4.670987009296108,-2.716226156426477,49.51070336391437
2.8200670577752343,1.1736282040040624,0.7798094069302977,-4.8952142543009725,-2.211637868552084,49.48756976154236
-0.8275184057665408,4.462870461773742,-3.5110509291441194,-4.7815226458215845,3.575173153219664,49.400278940027896
-2.252688088782878,0.9932612298054986,-2.147337559560728,-1.146237837264874,-0.2644025223548656,49.3768115942029
-4.912347984009671,2.9226986048463024,-3.5110509291441194,-2.066842874853413,3.005015977687794,49.3768115942029
-4.995824946014931,1.266941209264651,-3.639095210611779,-3.5097959709911155,-4.937752510722237,49.3768115942029
-4.912347984009671,2.9226986048463024,-3.5110509291441194,-2.066842874853413,3.005015977687794,49.3768115942029
-4.784244299197127,1.9580077138242435,-3.5110509291441194,-2.0042558717984917,-4.031926425012928,49.3768115942029
-4.436275185221236,1.9580077138242435,-3.5110509291441194,-2.0042558717984917,1.3982453788594462,49.3768115942029
-4.912347984009671,3.703868474193401,-3.5110509291441194,-2.066842874853413,3.005015977687794,49.333333333333336
-4.912347984009671,2.9226986048463024,-1.9096541920700538,-3.3827522333700744,3.005015977687794,49.31944444444445
-4.912347984009671,2.9226986048463024,-1.9096541920700538,-3.3827522333700744,1.160256036279077,49.31944444444445
-1.8773596829942574,-4.253162400609484,0.852965511578077,-2.746684109640322,-1.4326261134702198,49.31051587301587
-4.912347984009671,-1.946515351267688,-2.6526921091248203,-1.146237837264874,1.160256036279077,49.31547619047619
-4.784244299197127,1.9580077138242435,-2.147337559560728,-4.896561608635707,2.9758330074844164,49.31944444444445
-1.8284831446209693,-4.253162400609484,0.6115396815496323,-0.4102829795177634,2.62339214793172,49.30430430430431
-4.761080903056685,3.27899622368723,-4.030213809736098,1.0920926512134477,-0.6552961637260193,49.293394777265746
-3.5091677474801832,-2.472863092020595,0.6115396815496323,0.4329944734919948,-0.6552961637260193,49.281653746770026
-4.654854516028429,-4.253162400609484,0.852965511578077,-2.0042558717984917,2.4298790247164668,49.27955352612887
-3.3117603726927616,-4.753608943267446,1.7675158126179111,-4.7815226458215845,-2.447053077514391,49.26614987080104
1.4201694533907627,-0.48917276881001825,-3.639095210611779,-3.700719830781437,3.9646730349624395,49.26900584795321
1.5523216277485128,-1.8439102686496445,-4.918012851288152,-4.670987009296108,-3.3157432051636726,49.26900584795321
1.729176177213362,-1.4672349590272415,-4.292440759363102,-3.9213280061391407,1.160256036279077,49.26900584795321
-2.7250512870255026,-4.253162400609484,1.6743658680036875,-2.5259614343072876,-1.1809115283872251,49.23514211886305
-4.654854516028429,-4.131720631547172,2.574687661977247,-4.896561608635707,4.0025124242856105,49.16279069767442
3.695015280113868,4.3520594529713605,-2.152422628208325,-1.575542195613231,-3.3157432051636726,49.13178294573643
-3.1012736713865943,-2.8292251276334923,1.4459608323517337,-2.066842874853413,-1.3655590508175086,49.08010335917313
-1.213061013857363,3.4080492701444225,-1.6403194508014165,0.03443720532807859,-0.852267808891475,49.04249871991808
-3.9811866239752547,4.023822075190283,-3.471116370610885,0.11406839711046945,-0.2644025223548656,49.04249871991808
-0.7944214334673338,-4.753608943267446,-1.4933199264744523,-4.670987009296108,-3.9715358757532346,49.02718168812589
-4.761080903056685,3.943942006062663,-1.54404541615245,0.4329944734919948,-0.6552961637260193,48.99850523168909
-4.761080903056685,4.023822075190283,-1.54404541615245,0.4329944734919948,-0.2644025223548656,48.99850523168909
1.7355471165364191,1.5141725955688052,-4.528889002492925,-2.679854589084849,-0.05175313168574469,48.97593445980542
1.470896157115674,-2.472863092020595,-3.639095210611779,0.2057974168549812,-2.211637868552084,48.955453149001535
1.7355471165364191,-2.756483357304206,-3.8954751755983805,-0.13384212426360698,-3.3157882538103056,48.955453149001535
1.4201694533907627,-3.7338528976467824,-4.696549339841108,0.03443720532807859,-4.065015596817578,48.955453149001535
1.023491755424124,-4.131720631547172,-3.8954751755983805,-0.4102829795177634,-2.716226156426477,48.955453149001535
1.023491755424124,-4.253162400609484,-3.8954751755983805,-0.4102829795177634,-2.716226156426477,48.955453149001535
-4.761080903056685,3.943942006062663,-4.030213809736098,0.4329944734919948,-0.6552961637260193,48.924731182795696
3.3191231810181794,-2.472863092020595,0.6115396815496323,-4.8952142543009725,4.309744566729691,48.93255701115963
2.8200670577752343,-1.8439102686496445,0.852965511578077,-4.753598088924138,-2.136496656146347,48.90424987199181
-1.2731915569317263,0.08754689804802673,-4.292440759363102,-3.5097959709911155,-1.3655590508175086,48.90376984126984
1.5523216277485128,3.984531935616097,-2.6526921091248203,-4.164675949630302,1.160256036279077,48.85634588563459
1.4201694533907627,2.312509282566923,-1.6403194508014165,-3.311764569688458,2.024002969375955,48.85634588563459
1.9736482996444007,4.870607701655098,-3.2921917678054493,-4.8952142543009725,0.40395264361976757,48.85634588563459
1.4201694533907627,2.78012169509812,-1.6403194508014165,-3.311764569688458,0.402939078365244,48.85634588563459
-0.873617590925539,4.791921090191341,-3.8954751755983805,-3.5097959709911155,-1.3655590508175086,48.85634588563459
-0.960492716573258,4.870607701655098,-4.587476777952134,-4.8952142543009725,2.909912529145756,48.85634588563459
3.3191231810181794,-2.472863092020595,0.6115396815496323,-3.522877679818961,4.309744566729691,48.829891838741396
3.3191231810181794,-2.472863092020595,0.6115396815496323,-3.522877679818961,4.309744566729691,48.829891838741396
-4.995824946014931,1.266941209264651,3.581184654979557,-3.5097959709911155,-3.3157432051636726,48.81653746770026
-2.0303071207735055,-2.7727990736554933,-4.528889002492925,-0.7856691076841349,-2.4207784466509197,48.78072763028515
-3.6502309374681383,-2.795631692050762,-4.918012851288152,1.7974047406841356,3.3573491567963245,48.78072763028515
-2.087683173975906,1.9617952677901105,-2.152422628208325,-3.522877679818961,-2.716226156426477,48.77266387726639
-1.8284831446209693,-0.9847050383103761,-2.378985971100185,0.03443720532807859,-0.2644025223548656,48.78072763028515
-4.839637617238374,-1.5858077045226757,0.6115396815496323,-0.4102829795177634,2.62339214793172,48.77480158730159
-0.873617590925539,-0.6354197661512293,-3.471116370610885,1.0076081445259728,4.750945286878478,48.78072763028515
-3.6502309374681383,-2.795631692050762,-4.918012851288152,1.7974047406841356,4.750945286878478,48.78072763028515
-4.3756415450924715,4.3520594529713605,-3.8954751755983805,-4.7815226458215845,1.3982453788594462,48.77266387726639
-3.5091677474801832,-3.911642129945484,-4.030213809736098,1.0920926512134477,2.647332228959809,48.78072763028515
-1.8284831446209693,-0.9847050383103761,-2.378985971100185,0.03443720532807859,-0.2644025223548656,48.78072763028515
-0.873617590925539,-0.6354197661512293,-1.9096541920700538,0.2057974168549812,3.005015977687794,48.78072763028515
-3.9811866239752547,2.78012169509812,-3.8118666162191808,-3.700719830781437,-4.623711802895823,48.77266387726639
-4.767154326910454,-3.911642129945484,-4.03253808892592,1.0421196182524,-1.4326261134702198,48.78072763028515
-0.873617590925539,-0.6354197661512293,-3.2921917678054493,-0.37431246012594777,-2.136496656146347,48.78072763028515
-1.8284831446209693,-0.7484360492828355,-3.5110509291441194,-0.4102829795177634,-2.716226156426477,48.78072763028515
-0.873617590925539,-0.6354197661512293,-1.2222623949847655,0.2057974168549812,-1.8987748192742124,48.78072763028515
-3.1012736713865943,-2.795631692050762,-4.918012851288152,-0.4102829795177634,1.160256036279077,48.78072763028515
-4.784244299197127,1.4673751166830087,4.104237896984159,-4.896561608635707,2.9758330074844164,48.77002583979328
-1.8773596829942574,2.312509282566923,-2.9532041783900964,-3.9213280061391407,-1.5592633013436599,48.77266387726639
-1.8284831446209693,-0.7484360492828355,-3.5110509291441194,-0.4102829795177634,-2.716226156426477,48.78072763028515
-3.3148358246214804,2.312509282566923,-3.639095210611779,-3.5097959709911155,-4.937752510722237,48.77266387726639
-2.1003256860296506,-1.946515351267688,-3.639095210611779,-0.4102829795177634,0.584657853079583,48.78072763028515
1.9736482996444007,-2.472863092020595,0.6115396815496323,-4.8952142543009725,2.62339214793172,48.73628993800668
1.9736482996444007,-2.472863092020595,0.6115396815496323,-4.8952142543009725,2.909912529145756,48.73628993800668
1.9736482996444007,-2.472863092020595,0.6115396815496323,-4.8952142543009725,2.909912529145756,48.73628993800668
-4.995824946014931,-1.5858077045226757,-0.13196388396687908,0.2057974168549812,-3.6199644924929144,48.68731563421829
-2.0303071207735055,-4.253162400609484,-4.292440759363102,-0.7856691076841349,1.451410563867988,48.68055555555556
0.2307379703841086,-2.8292251276334923,-4.260174095156936,-4.753598088924138,4.768935154107165,48.68383404864091
-2.087683173975906,2.9226986048463024,1.1916093208287935,-1.146237837264874,3.9646730349624395,48.68460388639762
-4.995824946014931,-1.5858077045226757,-0.13196388396687908,0.2057974168549812,-2.447053077514391,48.68731563421829
-4.040849782791851,4.791921090191341,-1.3100139241962938,1.0920926512134477,4.750945286878478,48.66467364225212
-2.1003256860296506,-2.472863092020595,-4.03253808892592,-1.575542195613231,2.62339214793172,48.635912698412696
-2.087683173975906,-1.8439102686496445,-4.908891708729786,-1.575542195613231,1.6945734253457498,48.635912698412696
-4.912347984009671,2.9226986048463024,-2.147337559560728,-1.146237837264874,3.005015977687794,48.55654761904762
1.9736482996444007,2.78012169509812,-2.152422628208325,-2.327549784892,2.647332228959809,48.56345885634589
3.3671023425673017,4.791921090191341,-3.5110509291441194,-3.7640834111217747,-2.447053077514391,48.56345885634589
3.695015280113868,4.791921090191341,-2.6489289561305682,-2.746684109640322,3.575173153219664,48.56345885634589
-2.087683173975906,3.045264406533345,-4.918012851288152,1.7974047406841356,-2.136496656146347,48.547400611620795
-4.436275185221236,-1.600685405591106,2.574687661977247,-3.311764569688458,-2.3293853694298106,48.5374677002584
3.11219266299517,3.984531935616097,-2.3119654214707372,-4.164675949630302,4.441141971660251,48.52161785216179
-4.436275185221236,1.8397467659681475,0.852965511578077,0.03443720532807859,-4.065015596817578,48.46726190476191
-4.436275185221236,1.8397467659681475,0.852965511578077,0.03443720532807859,-0.05175313168574469,48.46726190476191
-4.767154326910454,1.1736282040040624,0.7798094069302977,0.11406839711046945,-2.211637868552084,48.42261904761905
1.023491755424124,-4.131720631547172,-2.152422628208325,-4.896561608635707,-2.716226156426477,48.42632331902718
1.023491755424124,-4.131720631547172,-2.152422628208325,-4.896561608635707,3.487495025728091,48.42632331902718
3.695015280113868,-2.472863092020595,-2.9532041783900964,-4.670987009296108,1.6945734253457498,48.41269841269841
-4.767154326910454,1.1736282040040624,0.7798094069302977,0.11406839711046945,0.584657853079583,48.42261904761905
-1.8773596829942574,1.1690733082024032,-2.9532041783900964,1.0920926512134477,2.647332228959809,48.40978593272171
-1.8773596829942574,1.1690733082024032,-2.9532041783900964,1.0920926512134477,-1.1809115283872251,48.40978593272171
4.487731293348228,-2.8292251276334923,-1.2222623949847655,-4.7815226458215845,-0.33421753345046845,48.41269841269841
-2.7250512870255026,-0.3831961805750197,-2.147337559560728,-0.4102829795177634,0.402939078365244,48.3779761904762
-0.873617590925539,-2.7727990736554933,-4.528889002492925,1.7974047406841356,3.5795178108014998,48.36309523809524
